Year,Player,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rank,First,Pts Won,Pts Max,Share,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pos_new,Era
1980,Bob Lanier,31.0,Milwaukee Bucks,63.0,2131.0,20.4,0.592,0.007,0.408,7.6,19.9,13.8,12.3,1.6,2.2,13.7,21.6,5.0,2.4,7.4,0.168,2.6,0.6,3.1,2.8,0.0,0.0,0.0,221.0,0.0,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,Big,80s
1980,Marques Johnson,23.0,Milwaukee Bucks,77.0,2686.0,22.0,0.585,0.007,0.29,9.0,13.7,11.4,15.1,1.7,1.4,11.5,23.9,8.0,3.5,11.5,0.206,4.6,0.4,5.1,4.8,0.0,0.0,0.0,221.0,0.0,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,Wing,80s
1980,Brian Winters,27.0,Milwaukee Bucks,80.0,2623.0,14.8,0.534,0.091,0.192,2.0,7.0,4.6,19.0,1.8,0.6,13.3,21.1,3.6,2.6,6.2,0.113,0.3,-0.2,0.2,1.4,0.0,0.0,0.0,221.0,0.0,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,Guard,80s
1980,Pat Cummings,23.0,Milwaukee Bucks,71.0,900.0,15.3,0.552,0.0,0.332,10.1,18.4,14.4,8.2,1.1,1.0,14.9,22.0,1.2,1.2,2.5,0.131,-1.0,-0.6,-1.6,0.1,0.0,0.0,0.0,221.0,0.0,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,Big,80s
1980,Richard Washington,24.0,Milwaukee Bucks,75.0,1092.0,12.3,0.484,0.0,0.181,9.7,17.5,13.7,6.7,1.1,2.4,12.2,18.8,0.5,1.6,2.0,0.089,-2.5,-0.1,-2.6,-0.2,0.0,0.0,0.0,221.0,0.0,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,Big,80s
1980,Dave Meyers,26.0,Milwaukee Bucks,79.0,2204.0,13.3,0.509,0.006,0.296,7.1,14.7,11.0,13.6,1.5,1.0,16.2,20.2,1.0,2.8,3.9,0.084,-0.8,0.0,-0.8,0.7,0.0,0.0,0.0,221.0,0.0,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,Big,80s
1980,Junior Bridgeman,26.0,Milwaukee Bucks,81.0,2316.0,17.1,0.523,0.022,0.214,5.0,9.0,7.1,15.2,1.9,0.5,11.2,26.3,3.6,2.5,6.1,0.127,0.9,-0.5,0.3,1.4,0.0,0.0,0.0,221.0,0.0,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,Wing,80s
1980,Sidney Moncrief,22.0,Milwaukee Bucks,77.0,1557.0,15.9,0.564,0.002,0.647,11.1,12.5,11.8,10.7,2.2,0.6,16.8,17.8,2.8,2.0,4.9,0.15,1.4,0.2,1.5,1.4,0.0,0.0,0.0,221.0,0.0,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,Guard,80s
1980,Lloyd Walton,26.0,Milwaukee Bucks,76.0,1243.0,9.6,0.494,0.012,0.293,3.0,4.9,4.0,27.2,1.6,0.1,29.1,12.3,0.1,1.0,1.1,0.041,-1.5,-0.9,-2.4,-0.1,0.0,0.0,0.0,221.0,0.0,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,Guard,80s
1980,Harvey Catchings,28.0,Milwaukee Bucks,72.0,1366.0,10.9,0.429,0.004,0.254,13.4,19.0,16.3,7.0,0.8,6.5,20.0,9.9,0.2,2.4,2.6,0.09,-2.4,2.6,0.1,0.7,0.0,0.0,0.0,221.0,0.0,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,Big,80s
1980,Quinn Buckner,25.0,Milwaukee Bucks,67.0,1690.0,16.5,0.501,0.008,0.218,4.6,10.5,7.6,30.2,3.7,0.1,17.2,20.4,1.7,2.7,4.4,0.125,-0.2,1.9,1.7,1.6,0.0,0.0,0.0,221.0,0.0,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,3.9,Guard,80s
1980,Mike Newlin,31.0,Brooklyn Nets,78.0,2510.0,17.7,0.54,0.114,0.312,4.2,6.7,5.4,19.9,2.1,0.1,13.3,26.8,4.0,2.5,6.5,0.124,2.0,-0.7,1.3,2.1,0.0,0.0,0.0,221.0,0.0,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,Guard,80s
1980,Jan van Breda Kolff,28.0,Brooklyn Nets,82.0,2399.0,9.5,0.533,0.044,0.338,4.4,14.1,9.3,13.1,1.9,1.7,23.1,11.0,0.6,3.3,3.9,0.078,-2.2,1.8,-0.4,1.0,0.0,0.0,0.0,221.0,0.0,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,Wing,80s
1980,Maurice Lucas,27.0,Brooklyn Nets,63.0,1884.0,14.8,0.503,0.011,0.294,8.1,22.7,15.3,16.5,1.1,1.9,19.2,24.3,-0.3,2.7,2.4,0.061,-1.2,0.2,-1.0,0.5,0.0,0.0,0.0,221.0,0.0,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,Big,80s
1980,Eddie Jordan,25.0,Brooklyn Nets,82.0,2657.0,14.4,0.481,0.047,0.254,2.4,8.1,5.3,29.6,3.8,0.6,18.6,20.2,0.1,4.0,4.1,0.074,-0.9,1.5,0.6,1.8,0.0,0.0,0.0,221.0,0.0,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,Guard,80s
1980,Ralph Simpson,30.0,Brooklyn Nets,8.0,81.0,12.6,0.399,0.043,0.213,7.7,6.4,7.0,26.6,5.0,0.0,18.9,30.2,-0.2,0.1,-0.1,-0.064,-3.1,0.2,-2.9,0.0,0.0,0.0,0.0,221.0,0.0,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,Guard,80s
1980,Winford Boynes,22.0,Brooklyn Nets,64.0,1102.0,13.1,0.518,0.009,0.291,4.8,7.7,6.3,12.8,2.4,0.9,15.4,21.8,0.3,1.3,1.7,0.072,-1.5,0.3,-1.2,0.2,0.0,0.0,0.0,221.0,0.0,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,Guard,80s
1980,Roger Phegley,23.0,Brooklyn Nets,78.0,1512.0,14.2,0.536,0.012,0.277,5.0,7.4,6.2,10.2,1.0,0.2,12.6,24.4,1.6,1.0,2.6,0.083,-0.5,-1.3,-1.9,0.1,0.0,0.0,0.0,221.0,0.0,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,Guard,80s
1980,Robert Smith,24.0,Brooklyn Nets,65.0,809.0,10.8,0.523,0.097,0.342,2.6,7.6,5.1,15.7,1.5,0.3,14.6,17.4,0.7,0.7,1.4,0.08,-2.3,-0.3,-2.6,-0.1,0.0,0.0,0.0,221.0,0.0,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,Guard,80s
1980,Phil Jackson,34.0,Brooklyn Nets,16.0,194.0,10.7,0.645,0.043,0.217,6.4,6.4,6.4,8.6,1.2,1.1,15.2,11.8,0.3,0.2,0.5,0.121,-2.0,0.3,-1.7,0.0,0.0,0.0,0.0,221.0,0.0,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,Big,80s
1980,Cliff Robinson,19.0,Brooklyn Nets,70.0,1661.0,17.0,0.506,0.005,0.291,10.8,20.7,15.8,9.3,1.7,1.1,12.7,25.0,1.1,2.5,3.6,0.104,0.2,-0.8,-0.6,0.6,0.0,0.0,0.0,221.0,0.0,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,Big,80s
1980,Bob Elliott,24.0,Brooklyn Nets,54.0,722.0,11.6,0.521,0.018,0.667,9.6,16.9,13.3,10.0,1.8,1.1,23.0,20.5,-0.3,1.0,0.8,0.05,-2.7,-0.2,-2.9,-0.2,0.0,0.0,0.0,221.0,0.0,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,Big,80s
1980,Earl Tatum,26.0,Cleveland Cavaliers,33.0,225.0,9.3,0.415,0.064,0.202,4.9,7.4,6.1,11.2,3.2,1.2,14.2,20.4,-0.3,0.2,0.0,-0.005,-3.6,0.8,-2.8,0.0,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Guard,80s
1980,Mike Mitchell,24.0,Cleveland Cavaliers,82.0,2802.0,19.1,0.557,0.004,0.231,7.4,15.2,11.1,4.9,1.1,1.5,9.5,24.7,5.9,2.4,8.3,0.142,2.1,-0.9,1.2,2.2,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Wing,80s
1980,Foots Walker,28.0,Cleveland Cavaliers,76.0,2422.0,15.3,0.527,0.016,0.428,3.3,9.5,6.3,29.5,2.9,0.3,18.9,13.2,3.7,2.4,6.1,0.12,0.5,1.4,1.9,2.4,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Guard,80s
1980,Walt Frazier,34.0,Cleveland Cavaliers,3.0,27.0,13.6,0.421,0.091,0.182,3.7,8.2,5.9,36.7,3.4,2.0,25.2,22.6,0.0,0.0,0.0,-0.012,-3.5,0.2,-3.3,0.0,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Guard,80s
1980,Randy Smith,31.0,Cleveland Cavaliers,82.0,2677.0,15.2,0.497,0.04,0.213,3.5,6.7,5.0,18.5,2.1,0.1,12.1,23.7,2.4,1.8,4.2,0.075,0.3,-0.5,-0.3,1.2,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Guard,80s
1980,Willie Smith,26.0,Cleveland Cavaliers,62.0,1051.0,12.2,0.442,0.225,0.165,5.4,6.8,6.1,29.3,3.2,0.1,21.9,15.8,0.0,1.0,1.0,0.047,-0.7,0.7,0.0,0.5,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Guard,80s
1980,Austin Carr,31.0,Cleveland Cavaliers,77.0,1595.0,14.3,0.497,0.007,0.205,5.1,5.8,5.5,13.2,1.1,0.1,10.6,24.6,1.3,0.6,2.0,0.059,0.1,-1.8,-1.7,0.1,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Guard,80s
1980,Kenny Carr,24.0,Cleveland Cavaliers,79.0,1838.0,15.9,0.526,0.005,0.342,11.0,23.3,16.9,5.6,1.6,1.5,14.8,21.7,1.4,2.3,3.8,0.099,-0.6,-0.6,-1.2,0.3,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Big,80s
1980,Dave Robisch,30.0,Cleveland Cavaliers,82.0,2670.0,17.2,0.578,0.003,0.35,8.5,17.9,13.0,9.3,0.9,1.1,11.3,17.6,6.3,2.3,8.6,0.154,2.1,-0.3,1.8,2.6,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Big,80s
1980,Don Ford,27.0,Cleveland Cavaliers,73.0,999.0,9.6,0.518,0.011,0.193,4.9,14.8,9.9,7.8,1.0,1.1,14.6,13.7,0.6,0.9,1.5,0.072,-2.2,0.1,-2.1,0.0,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Wing,80s
1980,Bill Willoughby,22.0,Cleveland Cavaliers,78.0,1447.0,12.7,0.522,0.02,0.278,8.5,15.8,12.0,6.2,1.0,2.3,11.7,15.4,1.7,1.3,3.0,0.099,-1.0,0.2,-0.8,0.4,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Wing,80s
1980,Campy Russell,28.0,Cleveland Cavaliers,41.0,1331.0,16.2,0.508,0.014,0.379,5.8,12.4,8.9,17.5,2.5,0.8,16.8,25.5,0.5,1.4,1.8,0.067,0.6,0.2,0.8,0.9,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Wing,80s
1980,John Lambert,27.0,Cleveland Cavaliers,74.0,1324.0,10.4,0.453,0.008,0.253,10.5,17.8,14.0,5.1,1.6,1.7,12.6,14.7,0.4,1.5,1.8,0.066,-2.6,0.0,-2.6,-0.2,0.0,0.0,0.0,221.0,0.0,37,45,42,40,0.34,0.09,0.43,106.7,106.4,0.3,Big,80s
